               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  57,            0.048466,              0.0594,            0.035175,             0.42047,             0.34398,             0.23543,             0.13389,            0.045304,            0.028332,            0.025699,           0.0041225,           0.0041225,           0.0041225
                  58,            0.048479,            0.056506,            0.033046,             0.39571,             0.25892,              0.2271,             0.12809,            0.043758,            0.028241,            0.025593,           0.0039702,           0.0039702,           0.0039702
                  59,            0.046293,            0.065289,            0.033531,             0.42499,             0.26018,             0.22583,             0.11231,             0.04429,            0.028215,             0.02535,            0.003819,            0.003819,            0.003819
                  60,            0.045729,            0.063126,            0.034213,              0.4569,             0.23063,              0.2224,             0.12082,             0.04255,            0.028252,             0.02536,            0.003669,            0.003669,            0.003669
                  61,            0.048026,            0.058115,            0.033006,              0.5356,             0.21083,             0.22042,             0.11922,            0.042569,            0.028147,            0.025333,           0.0035204,           0.0035204,           0.0035204
                  62,            0.047752,            0.054612,            0.035858,             0.46455,             0.21778,             0.21604,              0.1193,            0.042697,            0.028141,            0.025125,           0.0033732,           0.0033732,           0.0033732
                  63,            0.046516,            0.051497,            0.032482,             0.48702,             0.22985,             0.22442,             0.13018,            0.041591,            0.028049,            0.024913,           0.0032278,           0.0032278,           0.0032278
                  64,            0.047047,            0.056758,            0.034902,              0.4753,             0.25747,             0.24411,             0.14216,            0.041773,            0.027616,            0.024799,           0.0030841,           0.0030841,           0.0030841
                  65,            0.045526,            0.050764,             0.03387,               0.433,             0.25614,             0.25628,             0.15041,            0.041687,            0.027535,            0.024533,           0.0029424,           0.0029424,           0.0029424
                  66,            0.047053,            0.059414,            0.034157,             0.43006,             0.25861,             0.25863,             0.15041,            0.042259,            0.027289,            0.024297,           0.0028027,           0.0028027,           0.0028027
                  67,            0.046196,            0.071025,            0.031465,             0.43106,             0.25789,              0.2521,             0.14613,            0.041507,            0.027231,            0.024087,           0.0026653,           0.0026653,           0.0026653
                  68,            0.044695,            0.057754,            0.032465,             0.43762,             0.26217,             0.25234,             0.14717,            0.041181,            0.027144,            0.024007,           0.0025302,           0.0025302,           0.0025302
                  69,            0.042398,            0.050532,            0.033905,             0.49385,             0.25751,             0.25357,             0.14822,            0.041529,            0.027141,            0.023869,           0.0023977,           0.0023977,           0.0023977
                  70,            0.047379,            0.054121,            0.034919,             0.50812,             0.26616,             0.25759,             0.14841,            0.041863,            0.027068,            0.023767,           0.0022677,           0.0022677,           0.0022677
                  71,            0.048269,            0.057606,            0.030478,             0.49954,             0.26616,             0.25719,             0.15196,            0.040594,            0.027062,            0.023617,           0.0021405,           0.0021405,           0.0021405
                  72,            0.046614,            0.064562,            0.033664,             0.50354,             0.28277,             0.26129,             0.15837,            0.040617,            0.026769,            0.023456,           0.0020161,           0.0020161,           0.0020161
                  73,            0.044188,            0.052749,            0.030807,             0.49304,              0.2797,             0.27404,             0.17014,            0.040062,             0.02671,            0.023302,           0.0018948,           0.0018948,           0.0018948
                  74,            0.043679,            0.055533,            0.031538,             0.50225,             0.29611,             0.26005,             0.16485,            0.039764,            0.026522,            0.023129,           0.0017765,           0.0017765,           0.0017765
                  75,            0.044573,            0.054316,            0.031823,             0.50247,             0.29373,             0.26752,              0.1742,            0.039606,            0.026369,            0.022949,           0.0016615,           0.0016615,           0.0016615
                  76,            0.042814,            0.051653,            0.031799,             0.51532,             0.29302,             0.26334,             0.17023,            0.039352,             0.02621,            0.022838,           0.0015498,           0.0015498,           0.0015498
                  77,            0.047879,            0.064903,            0.030845,             0.50807,             0.29098,             0.26351,              0.1696,            0.038962,            0.026002,            0.022744,           0.0014416,           0.0014416,           0.0014416
                  78,            0.045305,            0.053614,            0.034178,             0.50862,             0.30047,             0.26539,             0.17235,            0.038845,             0.02583,            0.022652,            0.001337,            0.001337,            0.001337
                  79,            0.043675,            0.059243,            0.030736,             0.49665,             0.26836,             0.26986,             0.17613,             0.03856,            0.025698,            0.022573,            0.001236,            0.001236,            0.001236
                  80,            0.044795,            0.056233,            0.030697,             0.48917,             0.25911,              0.2653,             0.17103,             0.03849,            0.025593,             0.02254,           0.0011387,           0.0011387,           0.0011387
                  81,            0.043355,            0.062992,            0.030572,             0.48034,             0.23952,              0.2643,             0.17325,            0.038484,            0.025425,            0.022499,           0.0010454,           0.0010454,           0.0010454
                  82,            0.045046,            0.053626,            0.033067,             0.48802,             0.24382,             0.26591,             0.17477,            0.038328,            0.025319,             0.02241,          0.00095595,          0.00095595,          0.00095595
                  83,            0.042435,            0.054297,            0.030046,              0.4893,             0.25518,             0.26743,             0.17688,            0.038172,            0.025246,            0.022272,          0.00087058,          0.00087058,          0.00087058
                  84,            0.043236,            0.054075,            0.032205,             0.56295,             0.25346,             0.27978,             0.18375,            0.038079,             0.02522,            0.022154,          0.00078933,          0.00078933,          0.00078933
                  85,             0.04449,            0.062503,             0.03072,             0.56371,             0.25782,             0.27842,             0.18342,             0.03809,            0.025218,            0.022065,          0.00071228,          0.00071228,          0.00071228
                  86,            0.045912,             0.05315,            0.033408,             0.56124,             0.24844,             0.28125,             0.18585,            0.037988,            0.025226,            0.021983,          0.00063952,          0.00063952,          0.00063952
                  87,            0.042929,            0.051407,            0.032292,             0.55373,             0.23394,             0.27409,              0.1793,            0.037892,            0.025214,            0.021912,          0.00057111,          0.00057111,          0.00057111
                  88,            0.041008,            0.055167,            0.031289,             0.55537,             0.23798,             0.28348,             0.18927,            0.037758,            0.025208,             0.02185,          0.00050711,          0.00050711,          0.00050711
                  89,            0.045816,            0.058921,            0.028669,             0.55325,             0.23421,             0.28376,             0.19015,            0.037727,            0.025208,            0.021808,          0.00044761,          0.00044761,          0.00044761
                  90,            0.046499,            0.057973,            0.032956,             0.55137,             0.23326,             0.27501,              0.1823,            0.037713,             0.02523,            0.021767,          0.00039264,          0.00039264,          0.00039264
                  91,            0.043351,            0.053674,            0.034668,             0.55286,             0.23421,             0.27655,              0.1844,            0.037692,            0.025279,            0.021723,          0.00034227,          0.00034227,          0.00034227
                  92,             0.04131,            0.057613,            0.029456,             0.47324,             0.22839,             0.27533,               0.183,             0.03769,            0.025287,            0.021685,          0.00029655,          0.00029655,          0.00029655
                  93,            0.041675,            0.056902,             0.03386,             0.47765,             0.22888,             0.27436,             0.18271,            0.037689,            0.025301,            0.021663,          0.00025551,          0.00025551,          0.00025551
                  94,            0.044534,            0.058721,            0.030678,              0.4916,             0.24705,             0.27773,              0.1847,            0.037667,            0.025308,            0.021647,          0.00021921,          0.00021921,          0.00021921
                  95,            0.041292,            0.050369,            0.030233,             0.49057,             0.24521,              0.2774,             0.18481,            0.037618,            0.025323,            0.021633,          0.00018768,          0.00018768,          0.00018768
                  96,            0.043261,            0.060392,             0.03012,             0.48717,             0.24425,             0.27467,             0.18264,            0.037578,            0.025304,            0.021625,          0.00016094,          0.00016094,          0.00016094
                  97,            0.042402,            0.061898,            0.032514,             0.48563,             0.24442,             0.27535,             0.18403,             0.03755,            0.025282,            0.021617,          0.00013903,          0.00013903,          0.00013903
                  98,            0.042094,            0.053468,            0.031806,             0.48615,             0.24509,             0.28079,             0.18794,            0.037521,            0.025244,            0.021605,          0.00012197,          0.00012197,          0.00012197
                  99,             0.04531,             0.04499,             0.03139,             0.48527,             0.24308,             0.27836,             0.18618,            0.037483,            0.025253,            0.021589,          0.00010977,          0.00010977,          0.00010977
